	User_cpu	Nice_cpu	Context_switches	Major_faults	Duration	Red	Green	Blue	Fsync	bind	recvfrom	sendto	Dup	Poll	Total_energy(j)
acctreelistinsert	165.3/1.70892228661	3.1/0.0268516381304	7872.2/0.598662726636	0.0/0.0	4.90945763588/3.09221710256	343.662034512/0.171878544582	382.937695599/0.149497268221	422.213356686/0.219161939178	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	5.96719150592
linkedlistinsert	117.8/1.21785266402	4.4/0.0381120025077	6414.1/0.487777571062	0.0/0.0	4.96328299046/3.12611894963	347.429809332/0.173762953063	387.136073256/0.151136297227	426.842337179/0.221564744124	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	5.41632518163
acctreelistinsert	159.4/1.64792627033	3.4/0.029450183756	6998.0/0.532181824775	0.0/0.0	4.90038866997/3.08650502322	343.027206898/0.171561042981	382.230316257/0.149221110296	421.433425617/0.218757093612	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	5.83560254898
linkedlistinsert	117.8/1.21785266402	3.2/0.0277178200056	6322.8/0.480834415789	0.0/0.0	4.95986275673/3.12396471875	347.190392971/0.173643211773	386.869295025/0.151032148126	426.548197079/0.221412062277	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	5.39645704074
acctreelistinsert	166.0/1.7161591021	1.0/0.00866181875175	7485.0/0.569217056079	0.0/0.0	4.90879797935/3.09180161854	235.622303009/0.117843737292	255.257494926/0.0996514540693	304.34547472/0.157979238135	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	5.76131402497
acctreelistinsert	156.0/1.61277602366	2.0/0.0173236375035	7028.0/0.534463255862	0.0/0.0	4.90826010704/3.09146284019	235.596485138/0.117830824786	255.229525566/0.0996405349484	304.312126637/0.157961927857	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	5.63145904481
linkedlistinsert	105.0/1.08552232362	4.0/0.034647275007	7340.0/0.558190139161	0.0/0.0	4.87837982178/3.07264277166	341.486587524/0.170790520232	380.513626099/0.148550921668	419.540664673/0.217774601817	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	5.28811855317
acctreelistinsert	171.0/1.76785064132	1.0/0.00866181875175	7926.0/0.602754093051	0.0/0.0	4.92410087585/3.10144013297	344.68706131/0.172391199739	384.079868317/0.149943167653	423.472675323/0.219815624597	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	6.02285667809
linkedlistinsert	116.0/1.1992437099	5.0/0.0433090937588	7607.0/0.578494875831	0.0/0.0	4.89347505569/3.08215049002	342.543253899/0.171318999552	381.691054344/0.14901058471	420.83885479/0.21844846459	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	5.44197621837
acctreelistinsert	168.0/1.73683571779	1.0/0.00866181875175	8105.0/0.616366631867	0.0/0.0	5.01849484444/3.160894082	501.849484444/0.250994146351	501.849484444/0.195919931217	521.923463821/0.270919326977	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	6.24059165495
acctreelistinsert	170.0/1.75751233348	1.0/0.00866181875175	7867.0/0.598267278581	0.0/0.0	5.00417709351/3.15187606054	500.417709351/0.250278060795	500.417709351/0.195360972234	520.434417725/0.270146394939	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	6.23210291932
acctreelistinsert	245.0/2.53288542178	1.0/0.00866181875175	27465.0/2.08865015968	0.0/0.0	8.88016986847/5.59316632864	621.611890793/0.310891912272	692.653249741/0.270408919912	763.694608688/0.396417566451	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	11.2010821275
acctreelistinsert	266.0/2.7499898865	1.0/0.00866181875175	27035.0/2.05594964744	0.0/0.0	9.63708996773/6.06991171475	674.596297741/0.337391443315	751.693017483/0.293457797302	828.789737225/0.430207057889	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	11.945569366
acctreelistinsert	165.0/1.70582079426	1.0/0.00866181875175	7462.0/0.567467958913	0.0/0.0	5.03525185585/3.17144846929	352.46762991/0.176282560066	392.749644756/0.153327811967	433.031659603/0.224777489252	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	6.0077869025
app-debug	202.0/2.08833818449	1.0/0.00866181875175	25812.0/1.96294330682	0.0/0.0	9.53445100784/6.00526466599	667.411570549/0.333798086095	743.687178612/0.290332351427	819.962786674/0.425625176315	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	11.1149635899
/Users/ruirua/repos/AnaDroid/src/profilers/greenScaler/GreenScaler/apks/app-debug	222.0/2.29510434137	2.0/0.0173236375035	28465.0/2.16469786256	0.0/0.0	13.8229861259/8.70639432647	1755.519238/0.878002401522	1907.57208538/0.744708131312	1907.57208538/0.990179942758	0/0.0	0/0.0	27.0/0.00142043369981	0/0.0	14.0/0.756841008507	0/0.0	16.5546720857
/Users/ruirua/repos/AnaDroid/src/profilers/greenScaler/GreenScaler/apks/app-debug	206.0/2.12969141586	1.0/0.00866181875175	27510.0/2.09207230631	0.0/0.0	12.4709260464/7.85480060435	1583.80760789/0.792122839317	1720.9877944/0.671866407671	1720.9877944/0.893328020894	0/0.0	0/0.0	21.0/0.00110478176652	0/0.0	14.0/0.756841008507	0/0.0	15.2004892034
/Users/ruirua/repos/AnaDroid/src/profilers/greenScaler/GreenScaler/apks/app-debug	209.0/2.1607063394	1.0/0.00866181875175	27431.0/2.08606453778	0.0/0.0	10.4176521301/6.56154803126	729.235649109/0.364718675441	812.57686615/0.317226596141	895.918083191/0.465051949087	0/0.0	0/0.0	27.0/0.00142043369981	0/0.0	14.0/0.756841008507	0/0.0	12.7222393901
/Users/ruirua/repos/AnaDroid/src/profilers/greenScaler/GreenScaler/apks/app-debug	459.0/4.7452833004	3.0/0.0259854562553	47816.0/3.63629696105	0.0/0.0	10.0039401054/6.30097191611	700.275807381/0.350234749526	780.307328224/0.30462870405	860.338849068/0.446583528272	0/0.0	0/0.0	27.0/0.00142043369981	0/0.0	14.0/0.756841008507	0/0.0	16.5682460579
